Price;Open;Close;High;Low;Volume
30,02;29,96;30,02;30,5;29,31;6195355
29,91;30;29,91;30,44;29,72;4698839
29,4;30;29,4;30,08;29,05;5367320
29,87;29,52;29,87;30,08;29,05;5041806
30,26;29,77;30,26;30,74;29,75;6166674
29,51;30,5;29,51;30,69;29,37;5388905
29,14;29,69;29,14;29,78;28,45;7450531
27,87;29,13;27,87;29,4;27,56;6324647
32,25;28,1;32,25;32,4;27,33;27935828
32,83;33,66;32,83;34,45;32,42;20488981
34,19;32,5;34,19;34,54;32,48;11982099
34;34,04;34;34,64;33,59;9216028
35,34;34,25;35,34;35,46;34,16;9745765
35,71;35,58;35,71;36,06;34,95;7036758
36,3;35,45;36,3;36,48;34,68;7899515
34,92;35,57;34,92;36,1;34,71;7711296
33,92;35;33,92;35,58;32,94;8737773
35,68;34,3;35,68;35,8;34,2;6128237
35,05;35,06;35,05;35,82;34,63;5956817
36,57;35,6;36,57;36,96;35,4;8575210
36,28;35,77;36,28;37,2;35,7;6512951
35,42;36,58;35,42;36,98;35,03;6778609
35,75;36;35,75;36,32;35,24;4690883
34,88;35,66;34,88;36,12;33,87;7275952
35,68;35,27;35,68;36,02;35,2;5847953
37,31;36,2;37,31;37,33;35,92;8964054
39,31;37,87;39,31;39,86;37,86;12989286
39,32;39,79;39,32;40,44;38,54;10734472
39,06;39,16;39,06;39,65;38,86;5181313
39,93;38,67;39,93;40,54;38,65;8174049
39,65;39,6;39,65;40,38;39,4;6173462
40,74;41,02;40,74;41,2;40,27;9355871
38,73;40,74;38,73;40,74;38,68;16419899
41,99;43;41,99;43,04;41,25;18022262
41,92;42,24;41,92;42,8;41,84;7828981
43,53;41,72;43,53;43,67;41,66;8303133
49,6;46;49,6;51,84;45,69;32797000
50,6;51,72;50,6;53;49,5;24771194
50,51;52,29;50,51;52,38;49,67;17970707
48,96;50;48,96;50,54;48,51;14612693
50,11;47,36;50,11;50,33;47;13109303
50,97;51,68;50,97;52;50,57;8765392
50,53;51,34;50,53;51,4;50,36;5946736
50,59;50,83;50,59;51,5;49,89;7374719
49,24;50,59;49,24;50,97;48,88;7818465
47,77;48,54;47,77;48,6;47,21;7745751
46,88;47,23;46,88;48,92;46,49;8836349
48,3;46,23;48,3;49,5;46,22;9763911
47,56;48,76;47,56;48,84;46,8;6236325
46,19;47,06;46,19;47,39;45,66;8289733
46,8;47;46,8;47,59;46,1;5912592
48,01;47,39;48,01;48,3;47;6242349
47,17;48,28;47,17;48,31;46,7;5071327
46,98;47,2;46,98;47,85;46,67;3817905
45,78;47,2;45,78;47,24;45,5;8227311
44,03;45,95;44,03;45,98;42,05;11332947
44,09;44,83;44,09;45,41;43,58;7865375
